Position,Company,Location,URL
Graduate/Early Career Spatial Analyst,Water Technology,Melbourne VIC,https://au.indeed.com/rc/clk?jk=6598c7071db31bad&fccid=3c9b0b7ff3191756&vjs=3
Junior Security Engineer,Mossé Security,Melbourne VIC,https://au.indeed.com/rc/clk?jk=e6fbc7941c7733f8&fccid=2559b26a919fd45d&vjs=3
Software Engineer,oOh!,Melbourne VIC,https://au.indeed.com/rc/clk?jk=039ed3adecc72b43&fccid=e1d92f3eaad6a725&vjs=3
Applications Engineer,Siemens,Melbourne VIC,https://au.indeed.com/rc/clk?jk=5f3b96ed334f6058&fccid=ea6bb53f0b18b8f2&vjs=3
Senior Data Analytics Analyst - Makeup,L'Oreal,Hybrid remote in Melbourne VIC,https://au.indeed.com/rc/clk?jk=2b5ba689ad4c2eba&fccid=ec8a0bd60be9a6f5&vjs=3
Python / GIS Engineering Lead,Opus Recruitment Solutions,Melbourne VIC,https://au.indeed.com/rc/clk?jk=cfda97c7b602bd2e&fccid=587a90c72514ac83&vjs=3
Software Engineer,Skillfield,Melbourne VIC,https://au.indeed.com/rc/clk?jk=f6dd49bce40741ec&fccid=2bffbbd513ec1c70&vjs=3
Software Architect, Industrial Microgrids,Power Technology Engineered Solutions,Remote in Mitcham VIC,https://au.indeed.com/rc/clk?jk=2e428394ddf6ffb8&fccid=25359387b74ae90e&vjs=3
Developer (AWS + Python),XPT Software Australia PTY Ltd,Melbourne VIC,https://au.indeed.com/rc/clk?jk=eb231f17fed1596c&fccid=b14456a305ab6fff&vjs=3
PHP Web Developer,Trellian,Melbourne VIC,https://au.indeed.com/rc/clk?jk=74b502786d58d840&fccid=3f1bfc8110b9b71f&vjs=3
Programmer, Library Systems,State Library of Victoria,None,https://au.indeed.com/rc/clk?jk=4bb8e15a9ed802ef&fccid=81403ae56dd49596&vjs=3
Software Developer / Engineer,Smart Guide,Port Melbourne VIC 3207,https://au.indeed.com/rc/clk?jk=1fb63cb3bf3e75ca&fccid=74d3286383c6991f&vjs=3
Microservices Developer,Infosys,Melbourne VIC,https://au.indeed.com/rc/clk?jk=ca102bdd2ba75db4&fccid=c67533a523c83a4c&vjs=3
Python and SQL Developer,Paxus Australia Pty Ltd,Melbourne VIC,https://au.indeed.com/rc/clk?jk=ce310ecb62606e41&fccid=0be9b830285b4790&vjs=3
Analytics Consultant,AECOM,Hybrid remote in Melbourne VIC,https://au.indeed.com/rc/clk?jk=73f9d02c5428e907&fccid=bafa4b35e9cd20ce&vjs=3
Quantitative Analyst,AE Capital,Melbourne VIC,https://au.indeed.com/rc/clk?jk=4e5f47b4f5ae007a&fccid=f7bd0dfd4a1849bb&vjs=3
Data Analytics & Visualization Instructor - Monash Universit...,2U Bootcamps Instructional Engagement,Remote in Melbourne VIC,https://au.indeed.com/rc/clk?jk=0e8b6f0d20212ff1&fccid=268f6585b8194c30&vjs=3
Quality Engineer,AccessHQ,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=25badefa92f9b094&fccid=56284ed47a760450&vjs=3
Data Analyst,Toll Global Express,Melbourne VIC,https://au.indeed.com/rc/clk?jk=5ca772b2eb42f91b&fccid=97c95a29aaddc59c&vjs=3
GIS Specialist,Arup,Melbourne VIC,https://au.indeed.com/rc/clk?jk=3446db0af0060b5f&fccid=38c0d5e4f2a99768&vjs=3
Junior Penetration Tester,Mossé Security,Melbourne VIC,https://au.indeed.com/rc/clk?jk=79489de4cef3e460&fccid=2559b26a919fd45d&vjs=3
IT Systems Administrator, Level 1 Support,PERSOLKELLY,Melbourne VIC,https://au.indeed.com/rc/clk?jk=0a72a0aff07d0c59&fccid=8ec5dcef1e43798c&vjs=3
Full Stack Developer,Accenture,Melbourne VIC,https://au.indeed.com/rc/clk?jk=479999c789b6fe09&fccid=a4e4e2eaf26690c9&vjs=3
Software Engineer (100% Remote),Bold Business,Remote in Melbourne VIC,https://au.indeed.com/rc/clk?jk=e21890b6a539a829&fccid=f8cff51ef12108db&vjs=3
Cloud Support Eng. I (CICD),AWS Australia Pty Ltd,Melbourne VIC,https://au.indeed.com/rc/clk?jk=3b299accc11eb246&fccid=fe2d21eef233e94a&vjs=3
Mobile Developer (Must have Python),Peoplebank,Melbourne VIC,https://au.indeed.com/rc/clk?jk=581231a75317f6b2&fccid=c90e910978217fed&vjs=3
Full-stack Python, Django, Flask Engineer Consultant,Folio1,Remote in Melbourne VIC,https://au.indeed.com/rc/clk?jk=6bf8e43b3b2a1c63&fccid=7126dc473356099e&vjs=3
Test Manager | Data and Analytics,EY,Melbourne VIC 3000,https://au.indeed.com/rc/clk?jk=e52475502f69011c&fccid=1544766d4c2915b0&vjs=3
Full Stack Developer - Digital & Emerging Tech,EY,Melbourne VIC 3000,https://au.indeed.com/rc/clk?jk=849be22f9009d368&fccid=1544766d4c2915b0&vjs=3
Sales Engineer - Energy,Tesla,Melbourne VIC,https://au.indeed.com/rc/clk?jk=4b725d4ce8683190&fccid=86e9be6ce380173e&vjs=3
Development Lead,Medibank,Docklands VIC 3008,https://au.indeed.com/rc/clk?jk=c17ea6941dfed60e&fccid=b7652dc7de6d908c&vjs=3
Cloud Enginee,Coles Group,Temporarily Remote in Hawthorn East VIC 3123,https://au.indeed.com/rc/clk?jk=1bf9269df5581c23&fccid=c16b85de098bffc3&vjs=3
Python DBT Engineer (1-2),Firesoft People,Melbourne VIC,https://au.indeed.com/rc/clk?jk=a603e2ee803e9c45&fccid=5385a960d1cfded8&vjs=3
Analyst, Advanced Analytics,Department of Health,None,https://au.indeed.com/rc/clk?jk=edc3fbafbd7ed072&fccid=1dd1a0864cb1eb3c&vjs=3
Microsoft Server Senior Consultant,Riley Solutions,Melbourne VIC,https://au.indeed.com/rc/clk?jk=92bb048286ef1bbb&fccid=86328ebb4d35809b&vjs=3
Data Administrator (Graduate),Emergency Services Telecommunications Authority,Burwood East VIC,https://au.indeed.com/rc/clk?jk=12b97b7c6414be99&fccid=7371f89de90d56ba&vjs=3
Software Engineer,Coles Supermarkets,Temporarily Remote in Hawthorn East VIC 3123,https://au.indeed.com/rc/clk?jk=6e4c55f8b25c3231&fccid=e8141e6430a70c7c&vjs=3
Splunk Engineer,Dialog Information Technology,Melbourne VIC,https://au.indeed.com/rc/clk?jk=a4086ec7d38b86f1&fccid=3acd1dea12f3f20d&vjs=3
Analyst Programmer,Allianz Australia,Temporarily Remote in Melbourne VIC 3000,https://au.indeed.com/rc/clk?jk=eb0f54daa79ab974&fccid=bf422d4af99309b2&vjs=3
Senior Software Engineer - Infrastructure,The Trade Desk,Melbourne VIC,https://au.indeed.com/rc/clk?jk=eda487b267cc0679&fccid=4899a85209d20142&vjs=3
Data Engineer - Commercial Banking,ANZ Banking Group,Melbourne VIC,https://au.indeed.com/rc/clk?jk=8977594b6ee20b5c&fccid=82e2c70af47d511b&vjs=3
Research Engineer,DEK Technologies,Melbourne VIC,https://au.indeed.com/rc/clk?jk=35fa45604da127f3&fccid=630ea73968ed2530&vjs=3
Data Scientist (Recommendation Focused),Catch Of The Day,Melbourne VIC,https://au.indeed.com/rc/clk?jk=67f533da391ac030&fccid=6327b73c8c70d3ff&vjs=3
Software Engineer,Deakin University,Melbourne VIC,https://au.indeed.com/rc/clk?jk=d16cdcbab0955139&fccid=57067f7305fe03c9&vjs=3
IT Security Intern,Mossé Security,Melbourne VIC,https://au.indeed.com/rc/clk?jk=6a3b65c26b342665&fccid=2559b26a919fd45d&vjs=3
Back End Developer ( Java Script and Python ),Idealseed,Melbourne VIC 3000,https://au.indeed.com/rc/clk?jk=05bbfeb939a4eb08&fccid=7709a15bd410662a&vjs=3
Technical Business Analysts| Data and Analytics,EY,Melbourne VIC 3000,https://au.indeed.com/rc/clk?jk=8f96d693afa8cb2f&fccid=1544766d4c2915b0&vjs=3
Conversation Designer,TPG Telecom,Remote in Melbourne VIC,https://au.indeed.com/rc/clk?jk=f97005471a806a09&fccid=e3016a472238082c&vjs=3
Digital Consultant (Geospatial),Beca,Melbourne VIC,https://au.indeed.com/rc/clk?jk=98c8d18f77140f17&fccid=fd4b16b8c7e8d03f&vjs=3
Data Administrator (Graduate),ESTA,Burwood East VIC,https://au.indeed.com/rc/clk?jk=7a0470dce2c01f06&fccid=922220de3dde99b4&vjs=3
Technology Lead,Australian Unity,Temporarily Remote in Melbourne VIC 3000,https://au.indeed.com/rc/clk?jk=883eec725f6ce952&fccid=8816e5e71c65d148&vjs=3
CICD Developer,Infosys,Melbourne VIC,https://au.indeed.com/rc/clk?jk=b1bfb5850c0f7b1d&fccid=c67533a523c83a4c&vjs=3
Fraud and Financial Crime Manager,Accenture,Melbourne VIC,https://au.indeed.com/rc/clk?jk=8ef6f487c76916c4&fccid=a4e4e2eaf26690c9&vjs=3
Data Analyst (Actuarial Data Warehouse),MLC Life Insurance,Hybrid remote in Docklands VIC,https://au.indeed.com/rc/clk?jk=11bbea97537aa1e0&fccid=f14b44b6ab96cddf&vjs=3
Python Scientific Computing Eng. & Python Web App. Developer,Bayside Group,Clayton VIC,https://au.indeed.com/rc/clk?jk=59e4c798da73fa0f&fccid=2bc695c9426ed2c2&vjs=3
Data Analyst,Equifax,Docklands VIC 3008,https://au.indeed.com/rc/clk?jk=cc04265cab0a76ae&fccid=34c446722f3cf576&vjs=3
Innovation Developer (R&D),AKQA,Melbourne VIC,https://au.indeed.com/rc/clk?jk=3a513b8864da9e2c&fccid=f3433a507ce87736&vjs=3
Software Developer,DNA Client,Melbourne City Centre VIC,https://au.indeed.com/rc/clk?jk=f14ecbe4ae3bfbcb&fccid=49fe0422209c83a2&vjs=3
Software Engineer,Seeing Machines,Melbourne VIC,https://au.indeed.com/rc/clk?jk=bbbd2dd58f8640a1&fccid=f60b94ea9e5e4320&vjs=3
DevOps Engineer,ANZ Banking Group,Melbourne VIC,https://au.indeed.com/rc/clk?jk=bc04a9b6bdde76f2&fccid=82e2c70af47d511b&vjs=3
Cloud Platform Engineer,ANZ Banking Group,Melbourne VIC,https://au.indeed.com/rc/clk?jk=9ca154dba11731f7&fccid=82e2c70af47d511b&vjs=3
Senior Open Source Developer & DevOps (Python, Django, React, AWS/OpenStack),OpenCraft,Anywhere in the World,https://weworkremotely.com/remote-jobs/opencraft-senior-open-source-developer-devops-python-django-react-aws-openstack
Senior Python Engineer: Long-term job - 100% remote,Proxify AB,Anywhere in the World,https://weworkremotely.com/remote-jobs/proxify-ab-senior-python-engineer-long-term-job-100-remote
(Senior) Python Full Stack Software Developer,Optimile,Europe Only,https://weworkremotely.com/remote-jobs/optimile-senior-python-full-stack-software-developer
Python / PHP Senior Developer for Ambitious Startup,Soundsnap/ Beatopia,Europe Only,https://weworkremotely.com/remote-jobs/soundsnap-beatopia-python-php-senior-developer-for-ambitious-startup
Senior Python Developer - Full Remote ,Ebury,Latin America Only/Europe Only,https://weworkremotely.com/remote-jobs/ebury-senior-python-developer-full-remote-1
Python Developer - Remote,UpStack Technologies, Inc.,Americas Only/Europe Only,https://weworkremotely.com/remote-jobs/upstack-technologies-inc-python-developer-remote
Python Developer,Lemon.io,Latin America Only/Europe Only,https://weworkremotely.com/remote-jobs/lemon-io-python-developer-1
Senior Software Engineer, Python,AssemblyAI (YC 17),Anywhere in the World,https://weworkremotely.com/remote-jobs/assemblyai-yc-17-senior-software-engineer-python
Python Platform Engineer,Doximity,Americas Only,https://weworkremotely.com/remote-jobs/doximity-python-platform-engineer
Backend Engineer - Integrations (Python),Cerity Partners LLC,USA Only,https://weworkremotely.com/remote-jobs/cerity-partners-llc-backend-engineer-integrations-python
Senior Python Engineer,Clevertech,Anywhere in the World,https://weworkremotely.com/remote-jobs/clevertech-senior-python-engineer-4
Backend engineer - data ingestion (Python, remote),Gridium,None,https://weworkremotely.com/listings/gridium-backend-engineer-data-ingestion-python-remote-1
Software Development Engineer in Test – Python – Cyprus, Greece or Remote ,XM,Anywhere in the World,https://weworkremotely.com/remote-jobs/xm-software-development-engineer-in-test-python-cyprus-greece-or-remote-1
Senior QA Software Test Automation Engineer – Python – Cyprus, Greece, Remote ,XM,Anywhere in the World,https://weworkremotely.com/remote-jobs/xm-senior-qa-software-test-automation-engineer-python-cyprus-greece-remote-1
